Timestamp,Chunk_ID,Strategy,Budget,Fitness,Macro_F1,Utility,Confidence,Cost,FACI_Vector
2026-07-19T17:45:03.861537,14,Hybrid,3,0.8302647273143228,0.43146370537674883,0.8302647273143228,0.5535098182095485,0.4023527268567703,"[0.536, 0.0, 0.020035677879714577, 0.05, 0.016666666666666666, 0.819992295623632, 0.27745183244397087, 0.08837903045680348]"
2026-07-19T17:45:04.194175,15,Hybrid,3,0.8302647273143228,0.42754101908071435,0.8302647273143228,0.5535098182095485,0.4023527268567703,"[0.48683333333333323, 0.0, 0.008775076669074972, 0.05, 0.03333333333333333, 0.8266272056305659, 0.3341659937607887, 0.07387133596115354]"
2026-07-19T17:45:04.520994,16,Hybrid,3,0.8302647273143228,0.4341720779220779,0.8302647273143228,0.5535098182095485,0.4023527268567703,"[0.3861666666666667, 0.0, 0.05013769763550273, 0.025, 0.03333333333333333, 0.8800741505228282, 0.3112573089475704, 0.03386045178554815]"
2026-07-19T17:45:04.836245,17,Hybrid,3,0.8302647273143228,0.41840363241377043,0.8302647273143228,0.5535098182095485,0.4023527268567703,"[0.5348333333333335, 0.0, 0.023854730688647546, 0.125, 0.0, 0.8357600383279429, 0.32099858032020545, 0.08131401940829155]"
2026-07-19T17:45:05.191023,18,Hybrid,3,0.8302647273143228,0.39693981075017076,0.8302647273143228,0.5535098182095485,0.4023527268567703,"[0.4496666666666666, 0.0, 0.0063923764677533525, 0.025, 0.0, 0.8464228080107363, 0.3621734170985119, 0.06556718291627855]"
2026-07-19T17:45:05.545756,19,Hybrid,3,0.8302647273143228,0.3613636363636364,0.8302647273143228,0.5535098182095485,0.4023527268567703,"[0.3453333333333334, 0.0, 0.051135790982472895, 0.05, 0.03333333333333333, 0.8779064566762269, 0.3019312268917832, 0.05921987955143436]"
2026-07-19T17:52:17.200119,0,Hybrid,3,0.8322826138723832,0.22952635599694426,0.8322826138723832,0.5548550759149221,0.3821738612761664,"[0.43983333333333335, 0.0, 0.017280660113890695, 0.025, 0.03333333333333333, 0.8337820902573642, 0.3181124053739839, 0.10410445557272834]"
2026-07-19T17:52:17.562454,1,Hybrid,3,0.8335411486531914,0.4043437446663253,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.44749999999999995, 0.0, 0.005088205494963942, 0.025, 0.016666666666666666, 0.8554690867563796, 0.3000657309092132, 0.06555178481173098]"
2026-07-19T17:52:17.905796,2,Hybrid,3,0.8335411486531914,0.46605042016806725,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.4616666666666667, 0.0, 0.00982858051239555, 0.075, 0.05, 0.8330670339944255, 0.33055979075258657, 0.08550833430338775]"
2026-07-19T17:52:18.236828,3,Hybrid,3,0.8335411486531914,0.5233231226213683,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.4211666666666667, 0.0, 0.01457268714048197, 0.0, 0.03333333333333333, 0.8238697060325606, 0.3274886794890347, 0.10298917133995784]"
2026-07-19T17:52:18.560648,4,Hybrid,3,0.8335411486531914,0.43261904761904757,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.33399999999999996, 0.0, 0.021661815196297958, 0.025, 0.03333333333333333, 0.880253748020978, 0.33781219214104696, 0.07355754898725722]"
2026-07-19T17:52:18.890556,5,Hybrid,3,0.8335411486531914,0.4598076024833235,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.4539999999999999, 0.0, 0.02308661201353122, 0.0, 0.05, 0.8445701948996005, 0.2889806904190738, 0.0625876451243469]"
2026-07-19T17:52:19.223024,6,Hybrid,3,0.8335411486531914,0.47281835811247575,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.358, 0.0, 0.003496503496503497, 0.05, 0.016666666666666666, 0.8486700139752721, 0.35781780288859927, 0.06302198004035728]"
2026-07-19T17:52:19.545166,7,Hybrid,3,0.8335411486531914,0.46105148081892267,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.3465, 0.0, 0.018597560975609755, 0.0, 0.03333333333333333, 0.859309493909427, 0.32807929590835905, 0.06964771247975406]"
2026-07-19T17:52:19.893803,8,Hybrid,3,0.8335411486531914,0.45203703703703707,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.4301666666666667, 0.0, 0.0015625, 0.025, 0.03333333333333333, 0.8540653884183241, 0.2832927785596894, 0.07647956894852484]"
2026-07-19T17:52:20.219530,9,Hybrid,3,0.8335411486531914,0.4490407197361703,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.5195000000000001, 0.0, 0.012199675315521363, 0.075, 0.03333333333333333, 0.7755347186444423, 0.26213447739764784, 0.12311720770285779]"
2026-07-19T17:52:20.569323,10,Hybrid,3,0.8335411486531914,0.4181923904033062,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.5323333333333333, 0.0, 0.013964284291148812, 0.05, 0.03333333333333333, 0.844091578878521, 0.30539282115103705, 0.042983578606256956]"
2026-07-19T17:52:20.932235,11,Hybrid,3,0.8335411486531914,0.4304870547727691,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.5691666666666668, 0.0, 0.007989528023830062, 0.025, 0.05, 0.8225096832562334, 0.34348306208882695, 0.07003120715886521]"
2026-07-19T17:52:21.298190,12,Hybrid,3,0.8335411486531914,0.4035109159502753,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.4843333333333333, 0.0, 0.03616216108743629, 0.05, 0.06666666666666667, 0.8243288828349931, 0.33434979393076525, 0.07884026705311697]"
2026-07-19T17:52:21.647717,13,Hybrid,3,0.8335411486531914,0.3971060038071214,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.529, 0.0, 0.010079188529651156, 0.025, 0.03333333333333333, 0.8247695781933153, 0.32002377203125726, 0.08656811325655048]"
2026-07-19T17:52:21.973761,14,Hybrid,3,0.8335411486531914,0.3964259069722254,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.536, 0.0, 0.020035677879714577, 0.05, 0.016666666666666666, 0.819992295623632, 0.27745183244397087, 0.08837903045680348]"
2026-07-19T17:52:22.316159,15,Hybrid,3,0.8335411486531914,0.3720843380378264,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.48683333333333323, 0.0, 0.008775076669074972, 0.05, 0.03333333333333333, 0.8266272056305659, 0.3341659937607887, 0.07387133596115354]"
2026-07-19T17:52:22.658743,16,Hybrid,3,0.8335411486531914,0.3354711912336515,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.3861666666666667, 0.0, 0.05013769763550273, 0.025, 0.03333333333333333, 0.8800741505228282, 0.3112573089475704, 0.03386045178554815]"
2026-07-19T17:52:22.996893,17,Hybrid,3,0.8335411486531914,0.3136905274643237,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.5348333333333335, 0.0, 0.023854730688647546, 0.125, 0.0, 0.8357600383279429, 0.32099858032020545, 0.08131401940829155]"
2026-07-19T17:52:23.355256,18,Hybrid,3,0.8335411486531914,0.32930300174989907,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.4496666666666666, 0.0, 0.0063923764677533525, 0.025, 0.0, 0.8464228080107363, 0.3621734170985119, 0.06556718291627855]"
2026-07-19T17:52:23.710200,19,Hybrid,3,0.8335411486531914,0.33219261219261215,0.8335411486531914,0.5556940991021276,0.36072250055678967,"[0.3453333333333334, 0.0, 0.051135790982472895, 0.05, 0.03333333333333333, 0.8779064566762269, 0.3019312268917832, 0.05921987955143436]"
